"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV3c49ae1f","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira",NA
"ASVaf06f7b1","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Candidatus Soleaferrea",NA
"ASV125aa73c","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002",NA
"ASV78229447","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA
"ASVe290a9c2","Bacteria","Bacillota","Clostridia","Clostridia vadinBB60 group",NA,NA,NA
"ASVcd572bba","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASV6b6ca198","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group",NA
"ASV4a255845","Bacteria","Bacillota","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV4e31783f","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASVde4e8ef9","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Acutalibacter",NA
"ASV45aded90","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospira",NA
"ASV3463d092","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",NA
"ASV77872c99","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASVc4719294","Bacteria","Bacillota","Clostridia","Oscillospirales","UCG-010",NA,NA
"ASVc5910557","Bacteria","Bacillota",NA,NA,NA,NA,NA
"ASV490aa025","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Aminipila",NA
"ASV7bc23e89","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASVab79afe1","Bacteria","Bacillota","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASV0076da8f","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Sporobacter",NA
"ASVe08fcb66","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","HT002",NA
"ASVbf31abe0","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] oxidoreducens group",NA
"ASV0b489952","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"ASVbc63109c","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASVae2ecd8c","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae",NA,NA
"ASV520d06db","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV0b9d1b5a","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002",NA
"ASV462eb203","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","[Eubacterium] siraeum group",NA
"ASVf742eae7","Bacteria","Bacillota","Bacilli","RF39",NA,NA,NA
"ASVb3b9c6b2","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA
"ASV48725b01","Bacteria","Bacillota","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV48fd9e94","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"ASV912e2515","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Caproiciproducens",NA
"ASV6aea4491","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-007",NA
"ASV9cd96f7f","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter",NA
"ASV98505d3b","Bacteria","Bacillota","Bacilli","RF39",NA,NA,NA
"ASVe8abfa50","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV05b99cca","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA
"ASVa47bbab2","Bacteria","Bacillota","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV3fc7c073","Bacteria","Bacillota","Bacilli","RF39",NA,NA,NA
"ASVb1994b9f","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASVe1ddba90","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"ASV3eeda85a","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASV60fd55c1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Planktosalinus",NA
"ASVe83ca74c","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium",NA
"ASVd151a819","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae",NA,NA
"ASVbde53d55","Bacteria","Bacillota","Bacilli",NA,NA,NA,NA
"ASV89ddeb1f","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","HT002",NA
"ASV8c0687c3","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ultunensis"
"ASV43322f22","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002",NA
"ASV21bc7a8b","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA
"ASV2f239915","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"ASVac26e877","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium","mitsuokai"
"ASVc104a67b","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV79ea55ce","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus",NA
"ASVe72333d6","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASV1c71deb3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV28d9eebb","Bacteria","Bacillota","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV80f0772d","Bacteria","Bacillota","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASVb50a9be3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV2e84c162","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae",NA,NA
"ASV5606883d","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae",NA,NA
"ASV11ccb534","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV58606621","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV4167598e","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASV94110000","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-004",NA
"ASVffac2010","Bacteria","Bacillota","Bacilli","RF39",NA,NA,NA
"ASVd2cd66c4","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV822a66e2","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",NA
"ASVe4dcc32d","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA
"ASVcdf36a73","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV7ffe16d7","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"ASVdbec1b5a","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASV3f732053","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV0c6afc56","Bacteria","Bacillota","Clostridia","Peptococcales","Peptococcaceae",NA,NA
"ASV0f4ee731","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASV2332ed34","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASVfefb1a30","Bacteria","Bacillota","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae",NA,NA
"ASV4128def6","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","lanienae"
"ASVe0203785","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA
"ASV71630c62","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASVa2bc3d71","Bacteria","Bacillota","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV7fd2823d","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia",NA
"ASV7d55dd01","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASVf57b619d","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-010",NA
"ASV0638fab4","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Solobacterium",NA
"ASVa3e20ed1","Bacteria","Bacillota","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae",NA,NA
"ASV5dcae55d","Bacteria","Cyanobacteriota","Vampirivibrionia","Gastranaerophilales","Gastranaerophilaceae","CAG-196",NA
"ASV571e95ab","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV3a687314","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"ASV6bfd3b10","Bacteria","Verrucomicrobiota","Kiritimatiellia","WCHB1-41",NA,NA,NA
"ASVfb5ea89f","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella",NA
"ASV0cd8e9b0","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","minutum"
"ASV19899da0","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA
"ASV75037a6f","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema",NA
"ASV87f3c44f","Bacteria","Bacillota","Bacilli","RF39",NA,NA,NA
"ASV443331e2","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Candidatus Soleaferrea",NA
"ASV2622b2ff","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum",NA
"ASV407bf459","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ultunensis"
"ASV711ac2d7","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASV27f52714","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA
"ASVba311980","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella",NA
"ASV8ab80449","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter",NA
"ASVc4652b9b","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV4787f048","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"ASV17430b32","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA
"ASV33fc596b","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ultunensis"
"ASVc3d00336","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV66221cae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella",NA
"ASVd572905b","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"ASVaf12bd8e","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ultunensis"
"ASV2a29a5cb","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Corticicoccus","populi"
"ASV0b65e4cf","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","formicigenerans"
"ASVad088494","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"ASV2e8f41ea","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV3cd363c4","Bacteria","Bacillota","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV4edcffc5","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-008",NA
"ASV5ae8312d","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"ASV6f43e241","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum",NA
"ASV602d6343","Bacteria","Bacillota","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV8e0781e3","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Murimonas","intestini"
"ASVd4db9d6c","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella",NA
"ASV57da4a22","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter",NA
"ASVda2e50b3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"ASVe958580a","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella",NA
"ASV8d72ee3a","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV7bff741d","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",NA
"ASVf2cebb56","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","cecorum"
"ASVbae6650b","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-004",NA
"ASV089b7617","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA
"ASVfa59af34","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea",NA
"ASV3176de71","Bacteria","Bacillota","Clostridia","Peptococcales","Peptococcaceae","Peptococcus",NA
"ASV3e145ad9","Bacteria","Bacillota","Bacilli","RF39",NA,NA,NA
"ASV0ec3d18a","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum",NA
"ASV1d44d284","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",NA
"ASV95b16d99","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","succinatutens"
"ASV4a81208a","Bacteria","Bacillota","Clostridia","Oscillospirales",NA,NA,NA
"ASV90b61739","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"ASV6cf0731e","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003",NA
"ASVfda70138","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA
"ASVfd1508d8","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales RF16 group",NA,NA
"ASV7f820e0e","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","HT002",NA
"ASVdabf4429","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","succinatutens"
"ASVcd6292f4","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA
"ASV264072b6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV95d3cc68","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"ASV25b30b0c","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASVf0d0244b","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV8e3b7ad9","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV8379bc65","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium",NA
"ASVbb037468","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA
"ASVf2b0c465","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV00383a24","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV8de84e1f","Bacteria","Bacillota","Bacilli","Acholeplasmatales","Acholeplasmataceae","Anaeroplasma",NA
"ASV46ea2b5a","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Dubosiella","newyorkensis"
"ASVd81142da","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ultunensis"
"ASV9844a83f","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASV1a63ade8","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster",NA
"ASVda844b48","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV39625579","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4B4 group",NA
"ASV3725ef16","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV6e10ca9b","Bacteria","Bacillota","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV3a175244","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group","bacterium"
"ASV66d1eeb2","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Catenisphaera",NA
"ASV2cea7988","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","succinatutens"
"ASV151b74b3","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group",NA
"ASV727f6712","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV2bacea5e","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","HT002",NA
"ASV37f660d9","Bacteria","Bacillota","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASV94e56c15","Bacteria","Bacillota","Bacilli","RF39",NA,NA,NA
"ASVffb2eb67","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas",NA
"ASV3c3e8863","Bacteria","Myxococcota","Polyangiia","Haliangiales","Haliangiaceae",NA,NA
"ASVf8cab5b4","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"ASVe3b08ef6","Eukaryota",NA,NA,NA,NA,NA,NA
"ASVad85d4d7","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASVab7dcbf1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA
"ASV8461e858","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","HT002",NA
"ASVe829579f","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASVd4d6c6b8","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV109638f4","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASV45c0448b","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK3A20 group",NA
"ASV0b517214","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus",NA
"ASV0fc90238","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"ASV70ea2055","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter",NA
"ASV080c1adc","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella",NA
"ASV26b1e9ba","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA
"ASV2f52bb88","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","vadinBE97",NA,NA
"ASVcf0fc01e","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","paraputrificum"
"ASVaa8694ae","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASV1cc70453","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Faecalimonas",NA
"ASVac61a7b0","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","UCG-004",NA
"ASVbf38a29b","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","porcorum"
"ASVe85d74e4","Bacteria","Bacillota","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASVaf151932","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-56",NA
"ASV0db88dc3","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASVdc6859c5","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASVb410b2aa","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea",NA
"ASV4884fe56","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV587b9f14","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Solobacterium",NA
"ASV894f221c","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA
"ASV2ed1829f","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Xylanibacter",NA
"ASV72357755","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV77fa23b7","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium",NA
"ASVbd221410","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"ASV659900de","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASVcc9d614a","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASVb4ed7372","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae",NA,NA
"ASVc64914c5","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","berlinense"
"ASV391c2a2a","Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","smithii"
"ASVe9378218","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","wexlerae"
"ASV54deb4d9","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",NA
"ASV1b5dc988","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","wexlerae"
"ASVf4e3d091","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Tractidigestivibacter",NA
"ASV5aa557c3","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASV683c7fd1","Bacteria","Bacillota","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV143d2292","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum",NA
"ASVff44acad","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV5db728e0","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella",NA
"ASV1ed8e414","Bacteria","Bacillota","Clostridia","Oscillospirales",NA,NA,NA
"ASV480e18d8","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group",NA
"ASV99a444b6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11 gut group",NA
"ASV8f5564a5","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA
"ASVe2400690","Bacteria","Bacillota","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV26c859fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"ASVab5cbdb7","Bacteria","Bacillota","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASVf38eca48","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA
"ASVc9552bb9","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","wexlerae"
"ASV8c52c75b","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter",NA
"ASVbc757a38","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","UCG-004",NA
"ASVc2d80048","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV3887066f","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASV5ad0e6a5","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium",NA
"ASV5e13f4ea","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASV0aff36ad","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASVd37ae2e3","Bacteria","Bacillota","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV273c4a20","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema",NA
"ASV8ea7060e","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"ASV80d148a5","Bacteria","Bacillota","Clostridia",NA,NA,NA,NA
"ASV59c3365e","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella",NA
"ASVd01d2d20","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lapidilactobacillus",NA
"ASVcb0647aa","Bacteria","Bacillota","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV1a49fc7a","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ultunensis"
"ASVa77f2706","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella",NA
"ASV76879b66","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium","mitsuokai"
"ASV80c6446c","Bacteria","Bacillota","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASVfb881e1e","Bacteria","Bacillota","Bacilli","RF39",NA,NA,NA
"ASV56a57c6f","Bacteria","Bacillota","Bacilli","RF39",NA,NA,NA
"ASV88fd6e68","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae",NA,NA
"ASV04b530ac","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae",NA,NA
"ASV7dc78c25","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
