"","reads.in","reads.out"
"NovABWGB16SAB27971-11-5.assembled.fastq.gz",128659,128446
"NovABWGB16SAB27972-11-6.assembled.fastq.gz",62605,62516
"NovABWGB16SAB27973-11-7.assembled.fastq.gz",117640,117457
"NovABWGB16SAB27974-11-8.assembled.fastq.gz",62370,62312
"NovABWGB16SAB27975-11-9.assembled.fastq.gz",82419,82361
"NovABWGB16SAB27976-11-10.assembled.fastq.gz",114667,114463
"NovABWGB16SAB27977-11-11.assembled.fastq.gz",119037,118842
"NovABWGB16SAB27978-11-12.assembled.fastq.gz",80815,80733
"NovABWGB16SAB27979-12-5.assembled.fastq.gz",86263,86148
"NovABWGB16SAB27980-12-6.assembled.fastq.gz",89750,89585
"NovABWGB16SAB27981-12-7.assembled.fastq.gz",88019,87873
"NovABWGB16SAB27982-12-8.assembled.fastq.gz",83579,83472
"NovABWGB16SAB27983-12-9.assembled.fastq.gz",82571,82476
"NovABWGB16SAB27984-12-10.assembled.fastq.gz",86416,86299
"NovABWGB16SAB27985-12-11.assembled.fastq.gz",83184,83056
"NovABWGB16SAB27986-12-12.assembled.fastq.gz",88209,88078
"NovABWGB16SAB27987-13-5.assembled.fastq.gz",53018,52940
"NovABWGB16SAB27988-13-6.assembled.fastq.gz",67664,67547
"NovABWGB16SAB27989-13-7.assembled.fastq.gz",107445,107194
"NovABWGB16SAB27990-13-8.assembled.fastq.gz",63462,63387
"NovABWGB16SAB27991-13-9.assembled.fastq.gz",85098,84985
"NovABWGB16SAB27992-13-10.assembled.fastq.gz",121975,121627
"NovABWGB16SAB27993-13-11.assembled.fastq.gz",56615,56536
"NovABWGB16SAB27994-13-12.assembled.fastq.gz",85310,85176
"NovABWGB16SAB27995-14-5.assembled.fastq.gz",91914,91640
"NovABWGB16SAB27996-14-6.assembled.fastq.gz",117843,117530
"NovABWGB16SAB27997-14-7.assembled.fastq.gz",98017,97666
"NovABWGB16SAB27998-14-8.assembled.fastq.gz",110073,109760
